Показник,2010 рік,2011 рік,2012 рік,2013 рік,2014 рік,2015 рік
Споживання електроенергії на виробництво тепла (МВт*год),10069.8340,10208.2810,9940.9640,9719.1220,8281.7440,8534.7860
Споживання електроенергії будівлями (МВт*год),273173.0,305565.0,323153.0,313902.0,250564.0,255870.0
Споживання електроенергії при утилізації відходів (МВт*год),43.9130,70.0610,87.7780,82.4750,80.6510,84.7680
Споживання електроенергії зовнішнім освітленням (МВт*год),0.610,0.750,0.8610,1.0360,1.0550,1.0130
Споживання електроенергії громадським транспортом (МВт*год),1.30,1.70,1.90,2.20,1.90,2.30
Загальне споживання енергії (МВт*год),283288.6570,315845.7920,333184.5030,323706.8330,258929.350,264492.8670
Витрати на електроенергію (млрд. доларів.),8.562880,14.266560,15.012070,14.585040,9.14640,9.567280
Споживання теплової енергії (Гкал),212082.380,233046.40,222832.180,193080.060,185472.830,170252.110
Витрати на теплову енергію (млн. доларів),29.86090,32.68910,31.17810,27.01530,17.43880,8.71480
Виробництво теплової енергії на продаж (Гкал),41740.530,44651.0,41106.370,36216.510,33525.870,30199.990
Обсяги продажів теплової енергії (млн. доларів),5.8770,6.26310,5.75150,5.06730,3.15220,1.54590
Споживання газу на виробництво теплової енергії (тис. м3),33949.220,42730.2030,35101.3220,29986.3730,29179.5110,27057.4580
Споживання газу по місту (тис. м3),189595.210,195806.190,192644.740,174930.0440,141260.710,113656.090
Загальне споживання газу (тис. м3),223544.430,238536.3930,227746.0620,204916.4170,170440.2210,140713.5480
Витрати на газ (млн. доларів),20.41180,21.698730,20.665320,18.593790,15.624880,46.324650
Споживання води по місту без врахування споживання на власні потреби Водоканалу (тис. м3),3671.40,3631.70,3726.30,3732.90,3289.50,3784.70
Споживання води на власні потреби Водоканалу (тис. м3),871.80,886.80,1216.50,1004.90,604.0,530.10
Втрати води в системі (тис. м3),5751.20,5881.10,6417.80,6322.20,5223.20,5175.30
Обсяг поставленої в систему води,9422.60,9512.80,10144.10,10055.10,8512.70,8960.0
Витрати на воду (млн. доларів),3.70810,4.14940,4.52150,4.40190,5.720,4.44960
